period_code,quarter,half_year,year_month,year,month_temp,quarter_temp,half_year_temp,db_month_temp
20191401,2019_Q1,2019_H1,201901,2019,1,Q1,H1,1401
20191402,2019_Q1,2019_H1,201902,2019,2,Q1,H1,1402
20191403,2019_Q1,2019_H1,201903,2019,3,Q1,H1,1403
20191404,2019_Q2,2019_H1,201904,2019,4,Q2,H1,1404
20191405,2019_Q2,2019_H1,201905,2019,5,Q2,H1,1405
20191406,2019_Q2,2019_H1,201906,2019,6,Q2,H1,1406
20191407,2019_Q3,2019_H2,201907,2019,7,Q3,H2,1407
20191408,2019_Q3,2019_H2,201908,2019,8,Q3,H2,1408
20191409,2019_Q3,2019_H2,201909,2019,9,Q3,H2,1409
20191410,2019_Q4,2019_H2,201910,2019,10,Q4,H2,1410
20191411,2019_Q4,2019_H2,201911,2019,11,Q4,H2,1411
20191412,2019_Q4,2019_H2,201912,2019,12,Q4,H2,1412
20201401,2020_Q1,2020_H1,202001,2020,1,Q1,H1,1401
20201402,2020_Q1,2020_H1,202002,2020,2,Q1,H1,1402
20201403,2020_Q1,2020_H1,202003,2020,3,Q1,H1,1403
20201404,2020_Q2,2020_H1,202004,2020,4,Q2,H1,1404
20201405,2020_Q2,2020_H1,202005,2020,5,Q2,H1,1405
20201406,2020_Q2,2020_H1,202006,2020,6,Q2,H1,1406
20201407,2020_Q3,2020_H2,202007,2020,7,Q3,H2,1407
20201408,2020_Q3,2020_H2,202008,2020,8,Q3,H2,1408
20201409,2020_Q3,2020_H2,202009,2020,9,Q3,H2,1409
20201410,2020_Q4,2020_H2,202010,2020,10,Q4,H2,1410
20201411,2020_Q4,2020_H2,202011,2020,11,Q4,H2,1411
20201412,2020_Q4,2020_H2,202012,2020,12,Q4,H2,1412
20211401,2021_Q1,2021_H1,202101,2021,1,Q1,H1,1401
20211402,2021_Q1,2021_H1,202102,2021,2,Q1,H1,1402
20211403,2021_Q1,2021_H1,202103,2021,3,Q1,H1,1403
20211404,2021_Q2,2021_H1,202104,2021,4,Q2,H1,1404
20211405,2021_Q2,2021_H1,202105,2021,5,Q2,H1,1405
20211406,2021_Q2,2021_H1,202106,2021,6,Q2,H1,1406
20211407,2021_Q3,2021_H2,202107,2021,7,Q3,H2,1407
20211408,2021_Q3,2021_H2,202108,2021,8,Q3,H2,1408
20211409,2021_Q3,2021_H2,202109,2021,9,Q3,H2,1409
20211410,2021_Q4,2021_H2,202110,2021,10,Q4,H2,1410
20211411,2021_Q4,2021_H2,202111,2021,11,Q4,H2,1411
20211412,2021_Q4,2021_H2,202112,2021,12,Q4,H2,1412
20221401,2022_Q1,2022_H1,202201,2022,1,Q1,H1,1401
20221402,2022_Q1,2022_H1,202202,2022,2,Q1,H1,1402
20221403,2022_Q1,2022_H1,202203,2022,3,Q1,H1,1403
20221404,2022_Q2,2022_H1,202204,2022,4,Q2,H1,1404
20221405,2022_Q2,2022_H1,202205,2022,5,Q2,H1,1405
20221406,2022_Q2,2022_H1,202206,2022,6,Q2,H1,1406
20221407,2022_Q3,2022_H2,202207,2022,7,Q3,H2,1407
20221408,2022_Q3,2022_H2,202208,2022,8,Q3,H2,1408
20221409,2022_Q3,2022_H2,202209,2022,9,Q3,H2,1409
20221410,2022_Q4,2022_H2,202210,2022,10,Q4,H2,1410
20221411,2022_Q4,2022_H2,202211,2022,11,Q4,H2,1411
20221412,2022_Q4,2022_H2,202212,2022,12,Q4,H2,1412
20231401,2023_Q1,2023_H1,202301,2023,1,Q1,H1,1401
20231402,2023_Q1,2023_H1,202302,2023,2,Q1,H1,1402
20231403,2023_Q1,2023_H1,202303,2023,3,Q1,H1,1403
20231404,2023_Q2,2023_H1,202304,2023,4,Q2,H1,1404
20231405,2023_Q2,2023_H1,202305,2023,5,Q2,H1,1405
20231406,2023_Q2,2023_H1,202306,2023,6,Q2,H1,1406
20231407,2023_Q3,2023_H2,202307,2023,7,Q3,H2,1407
20231408,2023_Q3,2023_H2,202308,2023,8,Q3,H2,1408
20231409,2023_Q3,2023_H2,202309,2023,9,Q3,H2,1409
20231410,2023_Q4,2023_H2,202310,2023,10,Q4,H2,1410
20231411,2023_Q4,2023_H2,202311,2023,11,Q4,H2,1411
20231412,2023_Q4,2023_H2,202312,2023,12,Q4,H2,1412
20241401,2024_Q1,2024_H1,202401,2024,1,Q1,H1,1401
20241402,2024_Q1,2024_H1,202402,2024,2,Q1,H1,1402
20241403,2024_Q1,2024_H1,202403,2024,3,Q1,H1,1403
20241404,2024_Q2,2024_H1,202404,2024,4,Q2,H1,1404
20241405,2024_Q2,2024_H1,202405,2024,5,Q2,H1,1405
20241406,2024_Q2,2024_H1,202406,2024,6,Q2,H1,1406
20241407,2024_Q3,2024_H2,202407,2024,7,Q3,H2,1407
20241408,2024_Q3,2024_H2,202408,2024,8,Q3,H2,1408
20241409,2024_Q3,2024_H2,202409,2024,9,Q3,H2,1409
20241410,2024_Q4,2024_H2,202410,2024,10,Q4,H2,1410
20241411,2024_Q4,2024_H2,202411,2024,11,Q4,H2,1411
20241412,2024_Q4,2024_H2,202412,2024,12,Q4,H2,1412
20251401,2025_Q1,2025_H1,202501,2025,1,Q1,H1,1401
20251402,2025_Q1,2025_H1,202502,2025,2,Q1,H1,1402
20251403,2025_Q1,2025_H1,202503,2025,3,Q1,H1,1403
20251404,2025_Q2,2025_H1,202504,2025,4,Q2,H1,1404
20251405,2025_Q2,2025_H1,202505,2025,5,Q2,H1,1405
20251406,2025_Q2,2025_H1,202506,2025,6,Q2,H1,1406
20251407,2025_Q3,2025_H2,202507,2025,7,Q3,H2,1407
20251408,2025_Q3,2025_H2,202508,2025,8,Q3,H2,1408
20251409,2025_Q3,2025_H2,202509,2025,9,Q3,H2,1409
20251410,2025_Q4,2025_H2,202510,2025,10,Q4,H2,1410
20251411,2025_Q4,2025_H2,202511,2025,11,Q4,H2,1411
20251412,2025_Q4,2025_H2,202512,2025,12,Q4,H2,1412
20261401,2026_Q1,2026_H1,202601,2026,1,Q1,H1,1401
20261402,2026_Q1,2026_H1,202602,2026,2,Q1,H1,1402
20261403,2026_Q1,2026_H1,202603,2026,3,Q1,H1,1403
20261404,2026_Q2,2026_H1,202604,2026,4,Q2,H1,1404
20261405,2026_Q2,2026_H1,202605,2026,5,Q2,H1,1405
20261406,2026_Q2,2026_H1,202606,2026,6,Q2,H1,1406
20261407,2026_Q3,2026_H2,202607,2026,7,Q3,H2,1407
20261408,2026_Q3,2026_H2,202608,2026,8,Q3,H2,1408
20261409,2026_Q3,2026_H2,202609,2026,9,Q3,H2,1409
20261410,2026_Q4,2026_H2,202610,2026,10,Q4,H2,1410
20261411,2026_Q4,2026_H2,202611,2026,11,Q4,H2,1411
20261412,2026_Q4,2026_H2,202612,2026,12,Q4,H2,1412
20271401,2027_Q1,2027_H1,202701,2027,1,Q1,H1,1401
20271402,2027_Q1,2027_H1,202702,2027,2,Q1,H1,1402
20271403,2027_Q1,2027_H1,202703,2027,3,Q1,H1,1403
20271404,2027_Q2,2027_H1,202704,2027,4,Q2,H1,1404
20271405,2027_Q2,2027_H1,202705,2027,5,Q2,H1,1405
20271406,2027_Q2,2027_H1,202706,2027,6,Q2,H1,1406
20271407,2027_Q3,2027_H2,202707,2027,7,Q3,H2,1407
20271408,2027_Q3,2027_H2,202708,2027,8,Q3,H2,1408
20271409,2027_Q3,2027_H2,202709,2027,9,Q3,H2,1409
20271410,2027_Q4,2027_H2,202710,2027,10,Q4,H2,1410
20271411,2027_Q4,2027_H2,202711,2027,11,Q4,H2,1411
20271412,2027_Q4,2027_H2,202712,2027,12,Q4,H2,1412
20281401,2028_Q1,2028_H1,202801,2028,1,Q1,H1,1401
20281402,2028_Q1,2028_H1,202802,2028,2,Q1,H1,1402
20281403,2028_Q1,2028_H1,202803,2028,3,Q1,H1,1403
20281404,2028_Q2,2028_H1,202804,2028,4,Q2,H1,1404
20281405,2028_Q2,2028_H1,202805,2028,5,Q2,H1,1405
